Comment,Designator,Footprint,LCSC Part #
0.1uF,C4 C6,C0603,
1uF,C1 C2,C0805,
4K7,R10 R11,R0603,
10K,R2 R3 R15,R0603,
10uF,C3 C5,C0805,
22,R16 R17,R0603,
100K,R1,R0603,
330,R7 R8 R12 R13 R14,R0603,
AO3400,Q1,SOT23,C79015
AP7365-33WG-7,IC1,SOT95P285X130-5N,C150742
BUZZER,BZ1,SMT-8585-BUZZER,C94599
ESP-C3-12F,IC2,ESP-C3-12F,C2838647
PICOMATE_TACT4X3,SW1 SW2,PICOMATE_SPST4X3,C720477
PICOMATE_WS2813,LED1,PICOMATE_WS2813-50503535,C194323
USB1050170001,J3,MOLEX_1050170001,C404969
